3124 Cancellations by cause
textbox1,,,,,,,,,,,,,
"Table 3124 - Train planned and cancellations by operator and cause, periodic data, April 2019 to March 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
Textbox22,Textbox24,financial_period_key,National_or_Operator,Trains_planned,Trains_part_cancelled1,Trains_full_cancelled,Cancellation_score__number_,NR_Responsible_infrastructure,NR_responsible_external_Event,TOC_responsible_TOC_fault,TOC_responsible_external_event,Percent_cancelled_periodic,Percent_cancelled_periodic__MAA_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 05),Great Britain,"534,244","9,915","15,735","20,693","5,524","1,979","12,452",708,3.9,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 06),Great Britain,"533,533","9,625","12,707","17,520","4,420","2,706","9,778",607,3.3,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 07),Great Britain,"533,792","11,046","13,345","18,868","5,122","3,337","9,654",729,3.5,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 08),Great Britain,"567,419","14,220","19,898","27,008","6,500","7,689","11,933",852,4.8,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 09),Great Britain,"539,451","14,451","19,678","26,904","7,050","3,794","15,065",960,5.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 10),Great Britain,"514,558","14,119","22,544","29,604","6,477","8,972","13,405",723,5.8,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 11),Great Britain,"546,601","11,810","12,338","18,243","5,750","3,556","8,107",809,3.3,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 12),Great Britain,"559,424","11,119","12,493","18,053","4,903","3,703","8,604",826,3.2,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),Great Britain,"583,999","10,129","12,101","17,166","5,538","3,360","7,429",778,2.9,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),Great Britain,"540,889","9,959","12,290","17,270","5,033","3,420","8,103",666,3.2,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),Great Britain,"555,387","10,676","12,521","17,859","4,727","3,088","9,488",556,3.2,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),Great Britain,"577,121","11,877","16,120","22,059","5,817","3,357","11,965",911,3.8,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),Great Britain,"570,450","14,065","17,517","24,550","6,511","3,421","13,557","1,059",4.3,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 05),Great Britain,"561,283","12,955","16,512","22,990","6,284","3,631","12,238",826,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 06),Great Britain,"563,710","12,458","16,939","23,168","6,220","4,127","12,170",635,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 07),Great Britain,"567,121","13,813","19,099","26,006","5,926","5,802","13,325",951,4.6,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 08),Great Britain,"578,213","13,479","17,781","24,521","5,726","3,333","14,361","1,100",4.2,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 09),Great Britain,"579,139","18,343","26,687","35,859","8,666","9,062","16,637","1,488",6.2,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 10),Great Britain,"516,052","12,371","20,251","26,437","5,283","4,154","16,027",968,5.1,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 11),Great Britain,"576,319","14,026","16,734","23,747","6,734","5,901","10,224",881,4.1,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 12),Great Britain,"583,637","11,701","12,324","18,175","5,500","2,818","8,954",903,3.1,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 13),Great Britain,"621,325","11,738","12,166","18,035","5,193","3,481","8,656",705,2.9,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 01),England and Wales,"522,485","7,270","7,263","10,898","3,122","2,431","4,750",585,2.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 02),England and Wales,"541,131","8,540","7,308","11,578","2,986","2,173","5,691",717,2.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 03),England and Wales,"543,021","9,295","9,868","14,516","4,001","2,766","7,145",565,2.7,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 04),England and Wales,"548,010","11,006","11,693","17,196","5,807","2,750","7,848",711,3.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 05),England and Wales,"546,852","13,399","16,845","23,545","6,959","4,283","11,431",781,4.3,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 06),England and Wales,"544,626","9,640","11,405","16,225","3,435","2,922","9,314",539,3.0,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 07),England and Wales,"548,708","12,068","13,273","19,307","5,585","2,903","9,897",896,3.5,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 08),England and Wales,"549,221","13,586","15,721","22,514","5,986","4,792","10,871",845,4.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 09),England and Wales,"544,157","15,468","15,433","23,167","6,804","2,991","11,819","1,522",4.3,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 10),England and Wales,"475,424","12,037","17,652","23,671","4,731","4,321","13,710",857,5.0,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 11),England and Wales,"549,375","12,363","10,912","17,094","6,127","2,589","7,446",869,3.1,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 12),England and Wales,"547,069","14,587","16,898","24,192","6,470","7,826","8,903",910,4.4,[z]
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 13),England and Wales,"535,556","11,371","16,915","22,601","5,812","3,919","10,736","1,884",4.2,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 01),England and Wales,"354,855","2,077","2,262","3,301",990,520,"1,618",146,0.9,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 02),England and Wales,"348,260","3,354","2,534","4,211","1,857",579,"1,633",138,1.2,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 03),England and Wales,"396,702","3,868","4,230","6,164","2,702","1,174","2,001",279,1.6,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 04),England and Wales,"431,033","4,290","4,702","6,847","2,122","1,600","2,727",334,1.6,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 05),England and Wales,"443,413","6,290","7,242","10,387","3,440","1,702","4,757",453,2.3,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 06),England and Wales,"460,474","6,194","7,598","10,695","3,986","2,268","4,010",401,2.3,3.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 07),England and Wales,"487,693","6,738","7,188","10,557","3,558","2,255","4,062",652,2.2,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 08),England and Wales,"484,190","7,719","8,013","11,873","4,148","1,899","5,335",467,2.5,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 09),England and Wales,"468,582","6,072","6,018","9,054","2,745","1,889","3,941",422,1.9,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 10),England and Wales,"428,188","6,746","10,910","14,283","3,433","3,350","7,139",324,3.3,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 11),England and Wales,"432,846","7,237","8,341","11,960","3,076","4,210","4,185",446,2.8,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 12),England and Wales,"409,937","6,075","6,334","9,372","3,157","2,565","3,180",439,2.3,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 13),England and Wales,"370,220","4,322","4,243","6,404","2,255","1,249","2,591",301,1.7,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 01),England and Wales,"479,315","5,656","4,721","7,549","2,524","1,352","3,146",502,1.6,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 02),England and Wales,"455,342","6,335","6,547","9,715","3,933","1,246","4,109",408,2.1,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 03),England and Wales,"477,161","8,801","10,372","14,773","4,952","1,628","7,676",489,3.1,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 04),England and Wales,"478,530","8,665","15,902","20,235","3,894","2,494","13,138",659,4.2,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 05),England and Wales,"465,483","6,923","11,619","15,081","2,221","2,046","10,366",431,3.2,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 06),England and Wales,"472,211","8,122","11,290","15,351","3,170","2,163","9,423",568,3.3,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 07),England and Wales,"484,622","7,696","9,137","12,985","3,734","2,144","6,483",538,2.7,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 08),England and Wales,"485,854","9,856","12,363","17,291","4,915","3,035","8,679",633,3.6,2.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 09),England and Wales,"484,955","10,728","14,602","19,966","4,609","3,720","10,670",925,4.1,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 10),England and Wales,"428,350","8,267","14,461","18,595","2,578","1,362","14,168",421,4.3,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 11),England and Wales,"455,093","6,901","7,536","10,987","2,706","2,098","5,508",649,2.4,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 12),England and Wales,"461,475","11,001","22,924","28,425","2,867","15,062","9,060","1,137",6.2,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 13),England and Wales,"438,443","7,672","10,761","14,597","3,361","1,681","9,030",483,3.3,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),England and Wales,"505,035","8,137","11,886","15,955","4,826","2,335","8,141",618,3.2,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),England and Wales,"487,986","7,833","8,714","12,631","3,500","2,004","6,527",563,2.6,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),England and Wales,"444,137","9,055","11,057","15,585","4,399","1,850","8,685",617,3.5,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),England and Wales,"491,857","11,450","19,833","25,558","6,446","4,046","13,863","1,027",5.2,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),England and Wales,"434,841","10,403","16,874","22,076","5,449","3,389","12,567",634,5.1,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),England and Wales,"497,833","9,922","11,623","16,584","4,842","2,327","8,647",725,3.3,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),England and Wales,"455,378","8,136","10,235","14,303","4,638","2,047","6,971",581,3.1,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),England and Wales,"471,084","11,146","13,034","18,607","4,842","2,901","10,024",771,3.9,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),England and Wales,"485,248","11,847","13,901","19,825","6,106","2,818","10,133",703,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),England and Wales,"275,592","8,650","17,235","21,560","5,427","4,434","11,065",519,7.8,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),England and Wales,"481,248","10,732","11,643","17,009","5,132","3,593","7,689",570,3.5,4.1
