operator,financial_period,number_of_stops,on_time_percentage
,2023-24 Period 01,"68,091",52.6
,2023-24 Period 02,"63,520",52
,2023-24 Period 03,"64,898",44.9
,2023-24 Period 04,"68,900",47.8
,2023-24 Period 05,"69,188",51.4
,2023-24 Period 06,"69,248",48.6
,2023-24 Period 07,"67,259",45.5
,2023-24 Period 08,"70,657",38.6
,2023-24 Period 09,"67,630",37.5
,2023-24 Period 10,"65,174",43.2
,2023-24 Period 11,"73,360",48.5
,2023-24 Period 12,"71,084",50.1
,2023-24 Period 13,"77,349",52.5
,2024-25 Period 01,"69,619",50.6
,2024-25 Period 02,"72,701",52.2
,2024-25 Period 03,"78,534",52.2
,2024-25 Period 04,"77,044",47.5
,2024-25 Period 05,"73,560",46.6
,2024-25 Period 06,"70,419",48
,2024-25 Period 07,"70,418",41.8
,2024-25 Period 08,"70,324",41.8
,2024-25 Period 09,"74,641",35.8
,2024-25 Period 10,"66,142",46.9
,2024-25 Period 11,"78,159",50
,2024-25 Period 12,"79,746",54.8
,2024-25 Period 13,"83,886",56.1
East Midlands Railway,2022-23 Period 01,"110,151",58.5
,2022-23 Period 02,"102,431",57.7
,2022-23 Period 03,"94,437",58.6
,2022-23 Period 04,"96,697",53.4
,2022-23 Period 05,"92,013",48.1
,2022-23 Period 06,"105,723",53.8
,2022-23 Period 07,"89,751",54.1
,2022-23 Period 08,"91,811",45.5
,2022-23 Period 09,"94,009",46.1
,2022-23 Period 10,"57,845",50.3
,2022-23 Period 11,"97,416",54.9
,2022-23 Period 12,"107,322",57.4
,2022-23 Period 13,"95,459",57.6
,2023-24 Period 01,"109,518",57.9
,2023-24 Period 02,"101,874",56.9
,2023-24 Period 03,"98,349",49.3
,2023-24 Period 04,"108,121",56
,2023-24 Period 05,"111,042",55
,2023-24 Period 06,"103,512",52.6
,2023-24 Period 07,"105,708",52
,2023-24 Period 08,"108,081",44.4
,2023-24 Period 09,"108,435",40.8
,2023-24 Period 10,"102,102",46.2
,2023-24 Period 11,"110,966",51.6
,2023-24 Period 12,"117,424",53.6
,2023-24 Period 13,"118,216",58.4
,2024-25 Period 01,"111,054",58.2
,2024-25 Period 02,"112,796",57.5
,2024-25 Period 03,"117,706",55.7
,2024-25 Period 04,"117,585",52.9
,2024-25 Period 05,"116,710",52.2
,2024-25 Period 06,"117,077",54.5
,2024-25 Period 07,"115,609",52
,2024-25 Period 08,"115,349",49.6
,2024-25 Period 09,"113,533",45.8
,2024-25 Period 10,"102,423",53.6
,2024-25 Period 11,"118,338",55.2
,2024-25 Period 12,"119,098",58.6
,2024-25 Period 13,"123,065",60.6
Elizabeth line,2022-23 Period 01,"190,767",87.6
,2022-23 Period 02,"198,079",87.3
,2022-23 Period 03,"244,920",89.3
,2022-23 Period 04,"264,901",87.5
,2022-23 Period 05,"243,723",87.9
,2022-23 Period 06,"269,034",86.1
,2022-23 Period 07,"256,298",88.2
,2022-23 Period 08,"272,190",84.5
,2022-23 Period 09,"296,450",80.1
,2022-23 Period 10,"197,118",86.1
,2022-23 Period 11,"297,473",84.7
,2022-23 Period 12,"279,325",84.6
,2022-23 Period 13,"279,293",86.1
,2023-24 Period 01,"299,748",81.9
,2023-24 Period 02,"313,381",82.8
,2023-24 Period 03,"323,934",82.4
,2023-24 Period 04,"329,395",83.7
,2023-24 Period 05,"310,520",83.9
,2023-24 Period 06,"324,952",81.5
