textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 10),Great Britain,"516,052","12,371","20,251","26,437","5,283","4,154","16,027",968,5.1,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 11),Great Britain,"576,319","14,026","16,734","23,747","6,734","5,901","10,224",881,4.1,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 12),Great Britain,"583,637","11,701","12,324","18,175","5,500","2,818","8,954",903,3.1,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 13),Great Britain,"621,325","11,738","12,166","18,035","5,193","3,481","8,656",705,2.9,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),England and Wales,"505,035","8,137","11,886","15,955","4,826","2,335","8,141",618,3.2,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),England and Wales,"487,986","7,833","8,714","12,631","3,500","2,004","6,527",563,2.6,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),England and Wales,"444,137","9,055","11,057","15,585","4,399","1,850","8,685",617,3.5,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),England and Wales,"491,857","11,450","19,833","25,558","6,446","4,046","13,863","1,027",5.2,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),England and Wales,"434,841","10,403","16,874","22,076","5,449","3,389","12,567",634,5.1,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),England and Wales,"497,833","9,922","11,623","16,584","4,842","2,327","8,647",725,3.3,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),England and Wales,"455,378","8,136","10,235","14,303","4,638","2,047","6,971",581,3.1,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),England and Wales,"471,084","11,146","13,034","18,607","4,842","2,901","10,024",771,3.9,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),England and Wales,"485,248","11,847","13,901","19,825","6,106","2,818","10,133",703,4.1,3.9
